t_s,setpoint,yaw,u,err,P,I,D,sat,height_m,motor_on
38.39,-28.6,-28.9,27.8,0.3,36.4,-8.6,-0.0,0,1.5,1
38.492,-28.6,-28.9,30.7,0.3,36.4,-5.7,-0.0,0,1.5,1
38.593,-28.6,-28.9,33.5,0.3,36.4,-2.9,-0.0,0,1.5,1
38.696,-28.6,-28.8,16.0,0.2,24.3,-1.0,-7.3,0,1.5,1
38.797,-28.6,-28.7,4.8,0.1,12.1,-0.0,-7.3,0,1.5,1
38.899,-28.6,-28.7,13.1,0.1,12.1,1.0,-0.0,0,1.5,1
38.99,-28.6,-28.7,14.0,0.1,12.1,1.9,-0.0,0,1.5,1
39.091,-28.6,-28.7,15.0,0.1,12.1,2.9,-0.0,0,1.5,1
39.192,-28.6,-28.7,15.9,0.1,12.1,3.8,-0.0,0,1.5,1
39.295,-28.6,-28.7,16.9,0.1,12.1,4.8,-0.0,0,1.5,1
39.396,-28.6,-28.7,17.8,0.1,12.1,5.7,-0.0,0,1.5,1
39.498,-28.6,-28.7,18.8,0.1,12.1,6.7,-0.0,0,1.5,1
39.599,-28.6,-28.8,40.2,0.2,24.3,8.6,7.3,0,1.5,1
39.69,-28.6,-28.8,34.7,0.2,24.3,10.5,-0.0,0,1.5,1
39.791,-28.6,-28.7,16.2,0.1,12.1,11.4,-7.3,0,1.5,1
39.893,-28.6,-28.7,24.5,0.1,12.1,12.4,-0.0,0,1.5,1
39.995,-28.6,-28.7,25.5,0.1,12.1,13.3,-0.0,0,1.5,1
40.096,-28.6,-28.6,6.0,-0.0,-0.0,13.3,-7.3,0,1.5,1
40.197,-28.6,-28.6,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
40.298,-28.6,-28.6,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
40.39,-28.6,-28.6,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
40.491,-28.6,-28.6,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
40.593,-28.6,-28.6,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
40.695,-28.6,-28.5,-7.1,-0.1,-12.1,12.4,-7.3,0,1.5,1
40.797,-28.6,-28.5,-0.7,-0.1,-12.1,11.4,-0.0,0,1.5,1
40.898,-28.6,-28.5,-1.7,-0.1,-12.1,10.5,-0.0,0,1.5,1
40.999,-28.6,-28.5,-2.6,-0.1,-12.1,9.5,-0.0,0,1.5,1
41.09,-28.6,-28.5,-3.6,-0.1,-12.1,8.6,-0.0,0,1.5,1
41.192,-28.6,-28.5,-4.5,-0.1,-12.1,7.6,-0.0,0,1.5,1
41.293,-28.6,-28.5,-5.5,-0.1,-12.1,6.7,-0.0,0,1.5,1
41.395,-28.6,-28.5,-6.4,-0.1,-12.1,5.7,-0.0,0,1.5,1
41.496,-28.6,-28.6,13.0,-0.0,-0.0,5.7,7.3,0,1.5,1
41.598,-28.6,-28.5,-14.7,-0.1,-12.1,4.8,-7.3,0,1.5,1
41.699,-28.6,-28.5,-8.3,-0.1,-12.1,3.8,-0.0,0,1.5,1
41.791,-28.6,-28.5,-9.3,-0.1,-12.1,2.9,-0.0,0,1.5,1
41.892,-28.6,-28.5,-10.2,-0.1,-12.1,1.9,-0.0,0,1.5,1
41.994,-28.6,-28.5,-11.2,-0.1,-12.1,1.0,-0.0,0,1.5,1
42.095,-28.6,-28.5,-12.1,-0.1,-12.1,-0.0,-0.0,0,1.5,1
42.298,-28.6,-28.5,-13.1,-0.1,-12.1,-1.0,-0.0,0,1.5,1
42.399,-28.6,-28.5,-14.0,-0.1,-12.1,-1.9,-0.0,0,1.5,1
42.491,-28.6,-28.5,-15.0,-0.1,-12.1,-2.9,-0.0,0,1.5,1
42.592,-28.6,-28.5,-15.9,-0.1,-12.1,-3.8,-0.0,0,1.5,1
42.694,-28.6,-28.5,-16.9,-0.1,-12.1,-4.8,-0.0,0,1.5,1
42.796,-28.6,-28.5,-17.8,-0.1,-12.1,-5.7,-0.0,0,1.5,1
42.897,-28.6,-28.5,-18.8,-0.1,-12.1,-6.7,-0.0,0,1.5,1
42.999,-28.6,-28.5,-19.7,-0.1,-12.1,-7.6,-0.0,0,1.5,1
43.09,-28.6,-28.5,-20.7,-0.1,-12.1,-8.6,-0.0,0,1.5,1
43.193,-28.6,-28.6,-1.2,-0.0,-0.0,-8.6,7.3,0,1.5,1
43.294,-28.6,-28.6,-8.6,-0.0,-0.0,-8.6,-0.0,0,1.5,1
43.395,-28.6,-28.6,-8.6,-0.0,-0.0,-8.6,-0.0,0,1.5,1
43.496,-28.6,-28.6,-8.6,-0.0,-0.0,-8.6,-0.0,0,1.5,1
43.598,-28.6,-28.6,-8.6,-0.0,-0.0,-8.6,-0.0,0,1.5,1
43.699,-28.6,-28.6,-8.6,-0.0,-0.0,-8.6,-0.0,0,1.5,1
43.8,-28.6,-28.6,-8.6,-0.0,-0.0,-8.6,-0.0,0,1.5,1
43.896,-28.6,-28.5,-29.0,-0.1,-12.1,-9.5,-7.3,0,1.5,1
43.994,-28.6,-28.5,-22.6,-0.1,-12.1,-10.5,-0.0,0,1.5,1
44.096,-28.6,-28.6,-3.1,-0.0,-0.0,-10.5,7.3,0,1.5,1
44.197,-28.6,-28.6,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
44.298,-28.6,-28.6,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
44.4,-28.6,-28.6,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
44.491,-28.6,-28.6,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
44.593,-28.6,-28.5,-30.9,-0.1,-12.1,-11.4,-7.3,0,1.5,1
44.695,-28.6,-28.5,-24.5,-0.1,-12.1,-12.4,-0.0,0,1.5,1
44.796,-28.6,-28.5,-25.5,-0.1,-12.1,-13.3,-0.0,0,1.5,1
44.898,-28.6,-28.5,-26.4,-0.1,-12.1,-14.3,-0.0,0,1.5,1
45.091,-28.6,-28.6,-6.9,-0.0,-0.0,-14.3,7.3,0,1.5,1
45.294,-28.6,-28.7,6.1,0.1,12.1,-13.3,7.3,0,1.5,1
45.396,-28.6,-28.7,-0.3,0.1,12.1,-12.4,-0.0,0,1.5,1
45.497,-28.6,-28.7,0.7,0.1,12.1,-11.4,-0.0,0,1.5,1
45.598,-28.6,-28.7,1.7,0.1,12.1,-10.5,-0.0,0,1.5,1
45.693,-28.6,-28.7,2.6,0.1,12.1,-9.5,-0.0,0,1.5,1
45.791,-28.6,-28.7,3.6,0.1,12.1,-8.6,-0.0,0,1.5,1
45.893,-28.6,-28.7,4.5,0.1,12.1,-7.6,-0.0,0,1.5,1
45.994,-28.6,-28.7,5.5,0.1,12.1,-6.7,-0.0,0,1.5,1
46.095,-28.6,-28.7,6.4,0.1,12.1,-5.7,-0.0,0,1.5,1
46.197,-28.6,-28.7,7.4,0.1,12.1,-4.8,-0.0,0,1.5,1
46.298,-28.6,-28.7,8.3,0.1,12.1,-3.8,-0.0,0,1.5,1
46.401,-28.6,-28.7,9.3,0.1,12.1,-2.9,-0.0,0,1.5,1
46.491,-28.6,-28.7,10.2,0.1,12.1,-1.9,-0.0,0,1.5,1
46.592,-28.6,-28.7,11.2,0.1,12.1,-1.0,-0.0,0,1.5,1
46.694,-28.6,-28.7,12.1,0.1,12.1,-0.0,-0.0,0,1.5,1
46.798,-28.6,-28.7,13.1,0.1,12.1,1.0,-0.0,0,1.5,1
46.897,-28.6,-28.7,14.0,0.1,12.1,1.9,-0.0,0,1.5,1
46.998,-28.6,-28.7,15.0,0.1,12.1,2.9,-0.0,0,1.5,1
47.1,-28.6,-28.7,15.9,0.1,12.1,3.8,-0.0,0,1.5,1
47.191,-28.6,-28.7,16.9,0.1,12.1,4.8,-0.0,0,1.5,1
47.496,-28.6,-28.7,17.8,0.1,12.1,5.7,-0.0,0,1.5,1
47.699,-28.6,-28.8,39.2,0.2,24.3,7.6,7.3,0,1.5,1
47.792,-28.6,-28.8,33.8,0.2,24.3,9.5,-0.0,0,1.5,1
47.891,-28.6,-28.7,15.3,0.1,12.1,10.5,-7.3,0,1.5,1
47.995,-28.6,-28.6,3.1,-0.0,-0.0,10.5,-7.3,0,1.5,1
48.095,-28.6,-28.6,10.5,-0.0,-0.0,10.5,-0.0,0,1.5,1
48.196,61.4,-28.6,660,90.0,10912.6,10.5,0.0,1,1.5,1
48.4,61.4,-24.5,660,85.9,10415.5,10.5,-300.8,1,1.5,1
48.491,61.4,-19.5,660,80.9,9809.2,10.5,-366.8,1,1.5,1
48.592,61.4,-14.5,660,75.9,9203.0,10.5,-366.8,1,1.5,1
48.693,61.4,-9.4,660,70.8,8584.6,10.5,-374.1,1,1.5,1
48.795,61.4,-4.4,660,65.8,7978.3,10.5,-366.8,1,1.5,1
48.898,61.4,0.4,660,61.0,7396.3,10.5,-352.1,1,1.5,1
49.099,61.4,10.2,660,51.2,6208.1,10.5,-718.9,1,1.5,1
49.191,61.4,15.0,660,46.4,5626.1,10.5,-352.1,1,1.5,1
49.293,61.4,19.9,660,41.5,5031.9,10.5,-359.4,1,1.5,1
49.394,61.4,24.8,660,36.6,4437.8,10.5,-359.4,1,1.5,1
49.597,61.4,34.6,660,26.8,3249.5,10.5,-718.9,1,1.5,1
49.698,61.4,39.5,660,21.9,2655.4,10.5,-359.4,1,1.5,1
49.8,61.4,44.4,660,17.0,2061.3,10.5,-359.4,1,1.5,1
49.891,61.4,49.4,660,12.0,1455.0,10.5,-366.8,1,1.5,1
49.993,61.4,54.3,579.5,7.1,860.9,78.1,-359.4,0,1.5,1
50.094,61.4,59.4,-34.5,2.0,242.5,97.1,-374.1,0,1.5,1
50.196,61.4,63.0,-376.2,-1.6,-194.0,81.9,-264.1,0,1.5,1
50.297,61.4,62.9,-107.0,-1.5,-181.9,67.6,7.3,0,1.5,1
50.399,61.4,61.5,157.2,-0.1,-12.1,66.6,102.7,0,1.5,1
50.491,61.4,61.2,114.8,0.2,24.3,68.5,22.0,0,1.5,1
50.592,61.4,61.8,-27.8,-0.4,-48.5,64.7,-44.0,0,1.5,1
50.795,61.4,62.3,-89.6,-0.9,-109.1,56.2,-36.7,0,1.5,1
51.0,61.4,61.9,20.1,-0.5,-60.6,51.4,29.3,0,1.5,1
51.093,61.4,61.6,47.3,-0.2,-24.3,49.5,22.0,0,1.5,1
51.193,61.4,61.5,43.8,-0.1,-12.1,48.6,7.3,0,1.5,1
51.294,61.4,61.6,15.1,-0.2,-24.3,46.6,-7.3,0,1.5,1
51.396,61.4,61.7,0.1,-0.3,-36.4,43.8,-7.3,0,1.5,1
51.498,61.4,61.8,-15.9,-0.4,-48.5,40.0,-7.3,0,1.5,1
51.599,61.4,61.9,-32.7,-0.5,-60.6,35.2,-7.3,0,1.5,1
51.69,61.4,61.8,-9.8,-0.4,-48.5,31.4,7.3,0,1.5,1
51.792,61.4,61.8,-20.9,-0.4,-48.5,27.6,-0.0,0,1.5,1
51.893,61.4,61.8,-24.7,-0.4,-48.5,23.8,-0.0,0,1.5,1
52.097,61.4,61.8,-28.5,-0.4,-48.5,20.0,-0.0,0,1.5,1
52.201,61.4,61.8,-32.3,-0.4,-48.5,16.2,-0.0,0,1.5,1
52.29,61.4,61.7,-15.7,-0.3,-36.4,13.3,7.3,0,1.5,1
52.391,61.4,61.6,-5.5,-0.2,-24.3,11.4,7.3,0,1.5,1
52.493,61.4,61.6,-14.7,-0.2,-24.3,9.5,-0.0,0,1.5,1
52.594,61.4,61.6,-16.6,-0.2,-24.3,7.6,-0.0,0,1.5,1
52.696,61.4,61.6,-18.5,-0.2,-24.3,5.7,-0.0,0,1.5,1
52.899,61.4,61.6,-20.4,-0.2,-24.3,3.8,-0.0,0,1.5,1
52.99,61.4,61.6,-22.3,-0.2,-24.3,1.9,-0.0,0,1.5,1
53.092,61.4,61.6,-24.3,-0.2,-24.3,-0.0,-0.0,0,1.5,1
53.195,61.4,61.6,-26.2,-0.2,-24.3,-1.9,-0.0,0,1.5,1
53.295,61.4,61.6,-28.1,-0.2,-24.3,-3.8,-0.0,0,1.5,1
53.396,61.4,61.6,-30.0,-0.2,-24.3,-5.7,-0.0,0,1.5,1
53.599,61.4,61.6,-31.9,-0.2,-24.3,-7.6,-0.0,0,1.5,1
53.69,61.4,61.6,-33.8,-0.2,-24.3,-9.5,-0.0,0,1.5,1
53.792,61.4,61.6,-35.7,-0.2,-24.3,-11.4,-0.0,0,1.5,1
53.893,61.4,61.5,-17.2,-0.1,-12.1,-12.4,7.3,0,1.5,1
53.995,61.4,61.3,15.4,0.1,12.1,-11.4,14.7,0,1.5,1
54.096,61.4,61.3,1.7,0.1,12.1,-10.5,-0.0,0,1.5,1
54.299,61.4,61.3,2.6,0.1,12.1,-9.5,-0.0,0,1.5,1
54.39,61.4,61.3,3.6,0.1,12.1,-8.6,-0.0,0,1.5,1
54.491,61.4,61.3,4.5,0.1,12.1,-7.6,-0.0,0,1.5,1
54.593,61.4,61.3,5.5,0.1,12.1,-6.7,-0.0,0,1.5,1
54.695,61.4,61.3,6.4,0.1,12.1,-5.7,-0.0,0,1.5,1
54.796,61.4,61.3,7.4,0.1,12.1,-4.8,-0.0,0,1.5,1
54.898,61.4,61.3,8.3,0.1,12.1,-3.8,-0.0,0,1.5,1
54.999,61.4,61.2,29.7,0.2,24.3,-1.9,7.3,0,1.5,1
55.092,61.4,61.2,24.3,0.2,24.3,-0.0,-0.0,0,1.5,1
55.193,61.4,61.3,5.7,0.1,12.1,1.0,-7.3,0,1.5,1
55.294,61.4,61.3,14.0,0.1,12.1,1.9,-0.0,0,1.5,1
55.396,61.4,61.3,15.0,0.1,12.1,2.9,-0.0,0,1.5,1
55.497,61.4,61.3,15.9,0.1,12.1,3.8,-0.0,0,1.5,1
55.598,61.4,61.3,16.9,0.1,12.1,4.8,-0.0,0,1.5,1
55.691,61.4,61.3,17.8,0.1,12.1,5.7,-0.0,0,1.5,1
55.792,61.4,61.3,18.8,0.1,12.1,6.7,-0.0,0,1.5,1
55.893,61.4,61.3,19.7,0.1,12.1,7.6,-0.0,0,1.5,1
55.995,61.4,61.4,0.3,-0.0,-0.0,7.6,-7.3,0,1.5,1
56.096,61.4,61.4,7.6,-0.0,-0.0,7.6,-0.0,0,1.5,1
56.198,61.4,61.4,7.6,-0.0,-0.0,7.6,-0.0,0,1.5,1
56.4,61.4,61.3,28.0,0.1,12.1,8.6,7.3,0,1.5,1
56.494,61.4,61.3,21.6,0.1,12.1,9.5,-0.0,0,1.5,1
56.594,61.4,61.3,22.6,0.1,12.1,10.5,-0.0,0,1.5,1
56.695,61.4,61.3,23.5,0.1,12.1,11.4,-0.0,0,1.5,1
56.797,61.4,61.3,24.5,0.1,12.1,12.4,-0.0,0,1.5,1
56.898,61.4,61.3,25.5,0.1,12.1,13.3,-0.0,0,1.5,1
57.0,61.4,61.3,26.4,0.1,12.1,14.3,-0.0,0,1.5,1
57.093,61.4,61.3,27.4,0.1,12.1,15.2,-0.0,0,1.5,1
57.194,61.4,61.3,28.3,0.1,12.1,16.2,-0.0,0,1.5,1
57.294,61.4,61.4,8.8,-0.0,-0.0,16.2,-7.3,0,1.5,1
57.396,61.4,61.5,-4.2,-0.1,-12.1,15.2,-7.3,0,1.5,1
57.497,61.4,61.4,22.6,-0.0,-0.0,15.2,7.3,0,1.5,1
57.599,61.4,61.5,-5.2,-0.1,-12.1,14.3,-7.3,0,1.5,1
57.7,61.4,61.5,1.2,-0.1,-12.1,13.3,-0.0,0,1.5,1
57.792,61.4,61.4,20.7,-0.0,-0.0,13.3,7.3,0,1.5,1
57.893,61.4,61.4,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
57.995,61.4,61.4,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
58.096,61.4,61.4,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
58.198,61.4,61.4,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
58.299,61.4,61.4,13.3,-0.0,-0.0,13.3,-0.0,0,1.5,1
58.502,61.4,61.5,-7.1,-0.1,-12.1,12.4,-7.3,0,1.5,1
58.596,61.4,61.4,19.7,-0.0,-0.0,12.4,7.3,0,1.5,1
58.695,61.4,61.4,12.4,-0.0,-0.0,12.4,-0.0,0,1.5,1
58.797,61.4,61.4,12.4,-0.0,-0.0,12.4,-0.0,0,1.5,1
58.898,61.4,61.4,12.4,-0.0,-0.0,12.4,-0.0,0,1.5,1
58.999,61.4,61.5,-8.0,-0.1,-12.1,11.4,-7.3,0,1.5,1
59.101,61.4,61.5,-1.7,-0.1,-12.1,10.5,-0.0,0,1.5,1
59.203,61.4,61.5,-2.6,-0.1,-12.1,9.5,-0.0,0,1.5,1
59.294,61.4,61.5,-3.6,-0.1,-12.1,8.6,-0.0,0,1.5,1
59.397,61.4,61.5,-4.5,-0.1,-12.1,7.6,-0.0,0,1.5,1
59.497,61.4,61.5,-5.5,-0.1,-12.1,6.7,-0.0,0,1.5,1
59.598,61.4,61.5,-6.4,-0.1,-12.1,5.7,-0.0,0,1.5,1
59.699,61.4,61.5,-7.4,-0.1,-12.1,4.8,-0.0,0,1.5,1
59.801,61.4,61.5,-8.3,-0.1,-12.1,3.8,-0.0,0,1.5,1
59.903,61.4,61.5,-9.3,-0.1,-12.1,2.9,-0.0,0,1.5,1
60.009,61.4,61.5,-10.2,-0.1,-12.1,1.9,-0.0,0,1.5,1
60.096,61.4,61.5,-11.2,-0.1,-12.1,1.0,-0.0,0,1.5,1
60.199,61.4,61.5,-12.1,-0.1,-12.1,-0.0,-0.0,0,1.5,1
60.299,61.4,61.5,-13.1,-0.1,-12.1,-1.0,-0.0,0,1.5,1
60.4,61.4,61.5,-14.0,-0.1,-12.1,-1.9,-0.0,0,1.5,1
60.603,61.4,61.5,-15.0,-0.1,-12.1,-2.9,-0.0,0,1.5,1
60.694,61.4,61.5,-15.9,-0.1,-12.1,-3.8,-0.0,0,1.5,1
60.796,61.4,61.5,-16.9,-0.1,-12.1,-4.8,-0.0,0,1.5,1
60.898,61.4,61.5,-17.8,-0.1,-12.1,-5.7,-0.0,0,1.5,1
60.999,61.4,61.5,-18.8,-0.1,-12.1,-6.7,-0.0,0,1.5,1
61.101,61.4,61.5,-19.7,-0.1,-12.1,-7.6,-0.0,0,1.5,1
61.203,61.4,61.5,-20.7,-0.1,-12.1,-8.6,-0.0,0,1.5,1
61.304,61.4,61.5,-21.6,-0.1,-12.1,-9.5,-0.0,0,1.5,1
61.405,61.4,61.5,-22.6,-0.1,-12.1,-10.5,-0.0,0,1.5,1
61.496,61.4,61.5,-23.5,-0.1,-12.1,-11.4,-0.0,0,1.5,1
61.598,61.4,61.5,-24.5,-0.1,-12.1,-12.4,-0.0,0,1.5,1
61.699,61.4,61.5,-25.5,-0.1,-12.1,-13.3,-0.0,0,1.5,1
61.795,61.4,61.4,-6.0,-0.0,-0.0,-13.3,7.3,0,1.5,1
61.902,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
61.996,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
62.098,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
62.198,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
62.39,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
62.496,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
62.595,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
62.696,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
62.798,61.4,61.4,-13.3,-0.0,-0.0,-13.3,-0.0,0,1.5,1
62.899,61.4,61.3,7.1,0.1,12.1,-12.4,7.3,0,1.5,1
62.991,61.4,61.3,0.7,0.1,12.1,-11.4,-0.0,0,1.5,1
63.097,61.4,61.3,1.7,0.1,12.1,-10.5,-0.0,0,1.5,1
63.197,61.4,61.3,2.6,0.1,12.1,-9.5,0.0,0,1.5,1
63.297,61.4,61.3,3.6,0.1,12.1,-8.6,-0.0,0,1.5,1
63.397,61.4,61.4,-15.9,-0.0,-0.0,-8.6,-7.3,0,1.5,1
63.499,61.4,61.4,-8.6,-0.0,-0.0,-8.6,-0.0,0,1.5,1
63.6,61.4,61.5,-29.0,-0.1,-12.1,-9.5,-7.3,0,1.5,1
63.691,61.4,61.5,-22.6,-0.1,-12.1,-10.5,-0.0,0,1.5,1
63.798,61.4,61.4,-3.1,-0.0,-0.0,-10.5,7.3,0,1.5,1
63.897,61.4,61.4,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
63.997,61.4,61.4,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
64.098,61.4,61.4,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
64.199,61.4,61.4,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
64.291,61.4,61.4,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
64.392,61.4,61.4,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
64.498,61.4,61.4,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
64.598,61.4,61.4,-10.5,-0.0,-0.0,-10.5,-0.0,0,1.5,1
64.698,61.4,61.3,9.9,0.1,12.1,-9.5,7.3,0,1.5,1
64.799,61.4,61.4,-16.9,-0.0,-0.0,-9.5,-7.3,0,1.5,1
64.991,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
65.094,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
65.199,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
65.298,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
65.399,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
65.499,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
65.6,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
65.691,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
65.793,61.4,61.3,10.9,0.1,12.1,-8.6,7.3,0,1.5,1
65.898,61.4,61.3,4.5,0.1,12.1,-7.6,-0.0,0,1.5,1
65.999,61.4,61.3,5.5,0.1,12.1,-6.7,-0.0,0,1.5,1
66.099,61.4,61.3,6.4,0.1,12.1,-5.7,-0.0,0,1.5,1
66.19,61.4,61.4,-13.0,-0.0,-0.0,-5.7,-7.3,0,1.5,1
66.292,61.4,61.4,-5.7,-0.0,-0.0,-5.7,-0.0,0,1.5,1
66.393,61.4,61.4,-5.7,-0.0,-0.0,-5.7,-0.0,0,1.5,1
66.499,61.4,61.4,-5.7,-0.0,-0.0,-5.7,-0.0,0,1.5,1
66.6,61.4,61.4,-5.7,-0.0,-0.0,-5.7,-0.0,0,1.5,1
66.699,61.4,61.4,-5.7,-0.0,-0.0,-5.7,-0.0,0,1.5,1
66.901,61.4,61.3,14.7,0.1,12.1,-4.8,7.3,0,1.5,1
67.094,61.4,61.3,8.3,0.1,12.1,-3.8,-0.0,0,1.5,1
67.2,61.4,61.3,9.3,0.1,12.1,-2.9,-0.0,0,1.5,1
67.3,61.4,61.3,10.2,0.1,12.1,-1.9,-0.0,0,1.5,1
67.4,61.4,61.3,11.2,0.1,12.1,-1.0,-0.0,0,1.5,1
67.49,61.4,61.3,12.1,0.1,12.1,-0.0,-0.0,0,1.5,1
67.591,61.4,61.3,13.1,0.1,12.1,1.0,-0.0,0,1.5,1
67.693,61.4,61.3,14.0,0.1,12.1,1.9,-0.0,0,1.5,1
67.794,61.4,61.3,15.0,0.1,12.1,2.9,-0.0,0,1.5,1
67.896,61.4,61.3,15.9,0.1,12.1,3.8,-0.0,0,1.5,1
68.001,61.4,61.3,16.9,0.1,12.1,4.8,-0.0,0,1.5,1
68.102,61.4,61.4,-2.6,-0.0,-0.0,4.8,-7.3,0,1.5,1
68.189,61.4,61.3,25.2,0.1,12.1,5.7,7.3,0,1.5,1
68.291,61.4,61.4,-1.6,-0.0,-0.0,5.7,-7.3,0,1.5,1
68.392,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
68.494,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
68.595,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
68.701,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
68.802,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
68.901,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
68.994,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.092,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.194,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.296,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.397,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.502,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.691,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.793,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.894,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
69.998,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
70.097,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
70.203,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
70.29,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
70.391,61.4,61.4,5.7,-0.0,-0.0,5.7,-0.0,0,1.5,1
70.493,61.4,61.3,26.1,0.1,12.1,6.7,7.3,0,1.5,1
70.594,61.4,61.3,19.7,0.1,12.1,7.6,-0.0,0,1.5,1
70.696,61.4,61.4,0.3,-0.0,-0.0,7.6,-7.3,0,1.5,1
70.798,61.4,61.4,7.6,-0.0,-0.0,7.6,-0.0,0,1.5,1
70.904,61.4,61.4,7.6,-0.0,-0.0,7.6,-0.0,0,1.5,1
70.994,61.4,61.4,7.6,-0.0,-0.0,7.6,-0.0,0,1.5,1
71.094,61.4,61.4,7.6,-0.0,-0.0,7.6,-0.0,0,1.5,1
71.295,61.4,61.3,28.0,0.1,12.1,8.6,7.3,0,1.5,1
71.398,61.4,61.3,21.6,0.1,12.1,9.5,-0.0,0,1.5,1
71.498,61.4,61.4,2.2,-0.0,-0.0,9.5,-7.3,0,1.5,1
71.6,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
71.792,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
71.894,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
71.996,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
72.097,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
72.198,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
72.29,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
72.391,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
72.492,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
72.594,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
72.695,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
72.796,61.4,61.4,9.5,-0.0,-0.0,9.5,-0.0,0,1.5,1
