# fecha: 2026-07-16 19:27:34
# modo: VUELO
# fin: plan
# Ts_nominal_s: 0.1 (OSD 0x03/0x43 ~9.9Hz; dt real en la hoja raw)
# signo: u_cmd + = DERECHA = yaw sube
# stick_enviado: 1024 + u_cmd (canal ch3)
# fase_A_niveles: 100,200,300,400,500,660
# fase_A_secs: 3.0
# prbs: 7-bit m-seq, 127 bits, bit=0.30s, bias=0, amp=660
t_s,u_cmd,phase,yaw_deg,yaw_unwrap_deg,height_m,motor_on,volt_mv
10.7834,300,STEP+300,77.3,77.3,1.5,1,7970
10.8851,300,STEP+300,79.0,79.0,1.5,1,7970
10.9866,300,STEP+300,80.7,80.7,1.5,1,7970
11.0879,300,STEP+300,82.4,82.4,1.5,1,7970
11.1896,300,STEP+300,84.1,84.1,1.5,1,7970
11.2809,300,STEP+300,85.8,85.8,1.5,1,7970
11.382,300,STEP+300,87.5,87.5,1.5,1,7970
11.4835,300,STEP+300,89.2,89.2,1.5,1,7970
11.5856,300,STEP+300,90.8,90.8,1.5,1,7970
11.7881,300,STEP+300,94.2,94.2,1.5,1,7968
11.8894,300,STEP+300,95.9,95.9,1.5,1,7968
11.9807,300,STEP+300,97.6,97.6,1.5,1,7968
12.0517,400,STEP+400,99.4,99.4,1.5,1,7968
12.1836,400,STEP+400,101.9,101.9,1.5,1,7968
12.2851,400,STEP+400,104.5,104.5,1.5,1,7968
12.3866,400,STEP+400,107.1,107.1,1.5,1,7968
12.4902,400,STEP+400,109.6,109.6,1.5,1,7968
12.5904,400,STEP+400,112.1,112.1,1.5,1,7968
12.6813,400,STEP+400,114.6,114.6,1.5,1,7967
12.7828,400,STEP+400,117.1,117.1,1.5,1,7967
12.8846,400,STEP+400,119.6,119.6,1.5,1,7967
12.9861,400,STEP+400,122.2,122.2,1.5,1,7967
13.0875,400,STEP+400,124.7,124.7,1.5,1,7967
13.1892,400,STEP+400,127.2,127.2,1.5,1,7967
13.3822,400,STEP+400,132.2,132.2,1.5,1,7967
13.4845,400,STEP+400,134.8,134.8,1.5,1,7967
13.585,400,STEP+400,137.3,137.3,1.5,1,7967
13.6866,400,STEP+400,139.8,139.8,1.5,1,7966
13.7879,400,STEP+400,142.3,142.3,1.5,1,7966
13.8894,400,STEP+400,144.8,144.8,1.5,1,7966
14.0823,400,STEP+400,149.9,149.9,1.5,1,7966
14.1843,400,STEP+400,152.4,152.4,1.5,1,7966
14.2853,400,STEP+400,154.9,154.9,1.5,1,7966
14.3868,400,STEP+400,157.4,157.4,1.5,1,7966
14.488,400,STEP+400,159.9,159.9,1.5,1,7966
14.5922,400,STEP+400,162.5,162.5,1.5,1,7966
14.6814,400,STEP+400,165.0,165.0,1.5,1,7963
14.7854,400,STEP+400,167.6,167.6,1.5,1,7963
14.8837,400,STEP+400,170.1,170.1,1.5,1,7963
14.9854,400,STEP+400,172.6,172.6,1.5,1,7963
15.0867,500,STEP+500,175.1,175.1,1.5,1,7963
15.2819,500,STEP+500,-178.2,181.8,1.5,1,7963
15.3723,500,STEP+500,-174.8,185.2,1.5,1,7963
15.484,500,STEP+500,-171.3,188.7,1.5,1,7963
15.576,500,STEP+500,-167.9,192.1,1.5,1,7963
15.6877,500,STEP+500,-164.5,195.5,1.5,1,7963
15.7888,500,STEP+500,-161.1,198.9,1.5,1,7963
15.9829,500,STEP+500,-154.2,205.8,1.5,1,7963
16.0838,500,STEP+500,-150.8,209.2,1.5,1,7963
16.1848,500,STEP+500,-147.3,212.7,1.5,1,7963
16.2871,500,STEP+500,-143.9,216.1,1.5,1,7963
16.3875,500,STEP+500,-140.5,219.5,1.5,1,7963
16.4916,500,STEP+500,-137.0,223.0,1.5,1,7963
16.5807,500,STEP+500,-133.6,226.4,1.5,1,7963
16.6831,500,STEP+500,-130.2,229.8,1.5,1,7962
16.7838,500,STEP+500,-126.8,233.2,1.5,1,7962
16.8846,500,STEP+500,-123.3,236.7,1.5,1,7962
16.976,500,STEP+500,-119.9,240.1,1.5,1,7962
17.0878,500,STEP+500,-116.5,243.5,1.5,1,7962
17.189,500,STEP+500,-113.1,246.9,1.5,1,7962
17.3849,500,STEP+500,-106.3,253.7,1.5,1,7962
17.4831,500,STEP+500,-102.8,257.2,1.5,1,7962
17.5853,500,STEP+500,-99.4,260.6,1.5,1,7962
17.686,500,STEP+500,-96.0,264.0,1.5,1,7962
17.7875,500,STEP+500,-92.5,267.5,1.5,1,7962
17.8892,500,STEP+500,-89.1,270.9,1.5,1,7962
17.9853,500,STEP+500,-85.7,274.3,1.5,1,7962
18.0866,660,STEP+660,-82.2,277.8,1.5,1,7962
18.173,660,STEP+660,-77.7,282.3,1.5,1,7962
18.2852,660,STEP+660,-72.7,287.3,1.5,1,7962
18.3871,660,STEP+660,-67.6,292.4,1.5,1,7962
18.5921,660,STEP+660,-57.5,302.5,1.5,1,7962
18.6857,660,STEP+660,-52.5,307.5,1.5,1,7962
18.7853,660,STEP+660,-47.5,312.5,1.5,1,7962
18.9867,660,STEP+660,-37.5,322.5,1.5,1,7956
19.1893,660,STEP+660,-27.5,332.5,1.5,1,7956
19.2922,660,STEP+660,-22.5,337.5,1.5,1,7956
19.3878,660,STEP+660,-17.5,342.5,1.5,1,7956
19.4868,660,STEP+660,-12.5,347.5,1.5,1,7956
19.6868,660,STEP+660,-2.5,357.5,1.5,1,7956
19.7877,660,STEP+660,2.4,362.4,1.5,1,7956
19.8891,660,STEP+660,7.4,367.4,1.5,1,7957
19.9907,660,STEP+660,12.4,372.4,1.5,1,7957
20.1893,660,STEP+660,22.4,382.4,1.5,1,7957
20.2876,660,STEP+660,27.4,387.4,1.5,1,7957
20.3876,660,STEP+660,32.4,392.4,1.5,1,7957
20.4888,660,STEP+660,37.4,397.4,1.5,1,7957
20.5904,660,STEP+660,42.4,402.4,1.5,1,7957
20.6818,660,STEP+660,47.4,407.4,1.5,1,7957
20.7904,660,STEP+660,52.4,412.4,1.5,1,7957
20.888,660,STEP+660,57.4,417.4,1.5,1,7955
20.9875,660,STEP+660,62.4,422.4,1.5,1,7955
21.0895,0,ZERO,67.3,427.3,1.5,1,7955
21.1897,0,ZERO,67.8,427.8,1.5,1,7955
21.3827,0,ZERO,67.4,427.4,1.5,1,7955
21.4889,0,ZERO,67.5,427.5,1.5,1,7955
21.5887,0,ZERO,67.5,427.5,1.5,1,7955
21.6891,0,ZERO,67.5,427.5,1.5,1,7955
21.7892,0,ZERO,67.5,427.5,1.5,1,7955
21.8894,0,ZERO,67.5,427.5,1.5,1,7952
21.9806,0,ZERO,67.5,427.5,1.5,1,7952
22.082,0,ZERO,67.6,427.6,1.5,1,7952
22.1837,0,ZERO,67.6,427.6,1.5,1,7952
22.2881,0,ZERO,67.6,427.6,1.5,1,7952
22.3894,0,ZERO,67.6,427.6,1.5,1,7952
22.4886,0,ZERO,67.6,427.6,1.5,1,7952
22.5902,0,ZERO,67.6,427.6,1.5,1,7952
22.7826,0,ZERO,67.6,427.6,1.5,1,7952
22.8842,0,ZERO,67.6,427.6,1.5,1,7950
22.9898,0,ZERO,67.6,427.6,1.5,1,7950
23.0904,-100,STEP-100,67.6,427.6,1.5,1,7950
23.1683,-100,STEP-100,67.3,427.3,1.5,1,7950
23.2907,-100,STEP-100,66.9,426.9,1.5,1,7950
23.3814,-100,STEP-100,66.5,426.5,1.5,1,7950
23.4829,-100,STEP-100,66.1,426.1,1.5,1,7950
23.5872,-100,STEP-100,65.8,425.8,1.5,1,7950
23.6928,-100,STEP-100,65.5,425.5,1.5,1,7950
23.7936,-100,STEP-100,65.1,425.1,1.5,1,7950
23.8912,-100,STEP-100,64.7,424.7,1.5,1,7948
23.993,-100,STEP-100,64.4,424.4,1.5,1,7948
24.0818,-100,STEP-100,64.0,424.0,1.5,1,7948
24.1834,-100,STEP-100,63.7,423.7,1.5,1,7948
24.2856,-100,STEP-100,63.4,423.4,1.5,1,7948
24.4955,-100,STEP-100,62.7,422.7,1.5,1,7948
24.6922,-100,STEP-100,62.0,422.0,1.5,1,7948
24.7829,-100,STEP-100,61.7,421.7,1.5,1,7948
